TTO;N;P;B;PL;SDT;FC;R;CCI;CCI.R;CCI.I;FC.R;FC.I
1.1N/0.0P;1.1N;0.0P;1;98;7;0,899;4;16,8;16,8;FALSO;0,749;VERDADERO
0.0N/0.0P;0.0N;0.0P;2;107;7;0,844;1;8,8;8,8;FALSO;0,844;FALSO
0.0N/0.0P;0.0N;0.0P;2;107;7;0,812;2;6,5;6,5;FALSO;0,812;FALSO
0.0N/0.0P;0.0N;0.0P;2;107;7;0,791;3;7,4;7,4;FALSO;0,791;FALSO
0.0N/0.0P;0.0N;0.0P;2;107;7;0,865;4;8,2;8,2;FALSO;0,865;FALSO
0.0N/0.0P;0.0N;0.0P;2;108;7;0,89;1;24,4;24,4;FALSO;0,89;FALSO
0.0N/0.0P;0.0N;0.0P;2;108;7;0,89;2;19,1;19,1;FALSO;0,89;FALSO
0.0N/0.0P;0.0N;0.0P;2;108;7;0,89;3;22,9;22,9;FALSO;0,89;FALSO
0.0N/0.0P;0.0N;0.0P;2;108;7;0,89;4;16,3;16,3;FALSO;0,89;FALSO
1.1N/0.0P;1.1N;0.0P;2;115;7;0,76;1;12;12;FALSO;0,76;FALSO
1.1N/0.0P;1.1N;0.0P;2;115;7;0,811;2;12,3;12,3;FALSO;0,811;FALSO
1.1N/0.0P;1.1N;0.0P;2;115;7;0,842;3;10,3;10,3;FALSO;0,842;FALSO
1.1N/0.0P;1.1N;0.0P;2;115;7;0,867;4;17,5;17,5;FALSO;0,867;FALSO
1.1N/0.0P;1.1N;0.0P;2;116;7;0,72;1;28,2;28,2;FALSO;0,72;FALSO
1.1N/0.0P;1.1N;0.0P;2;116;7;0,72;2;27,4;27,4;FALSO;0,72;FALSO
1.1N/0.0P;1.1N;0.0P;2;116;7;0,72;3;45,8;45,8;FALSO;0,72;FALSO
1.1N/0.0P;1.1N;0.0P;2;116;7;0,72;4;15,9;15,9;FALSO;0,72;FALSO
1.8N/0.0P;1.8N;0.0P;2;122;7;0,538;1;23,5;23,5;FALSO;0,538;FALSO
1.8N/0.0P;1.8N;0.0P;2;122;7;0,78;2;20,4;20,4;FALSO;0,78;FALSO
1.8N/0.0P;1.8N;0.0P;2;122;7;0,763;3;18;18;FALSO;0,763;FALSO
1.8N/0.0P;1.8N;0.0P;2;122;7;0,752;4;15,9;15,9;FALSO;0,752;FALSO
1.8N/0.0P;1.8N;0.0P;2;123;7;0,718;1;11,8;11,8;FALSO;0,718;FALSO
1.8N/0.0P;1.8N;0.0P;2;123;7;1,015;2;12,8;12,8;FALSO;1,015;FALSO
1.8N/0.0P;1.8N;0.0P;2;123;7;0,799;3;11,5;11,5;FALSO;0,799;FALSO
1.8N/0.0P;1.8N;0.0P;2;123;7;1,037;4;12,5;12,5;FALSO;1,037;FALSO
2.5N/0.0P;2.5N;0.0P;2;126;7;0,763;1;28;28;FALSO;0,763;FALSO
2.5N/0.0P;2.5N;0.0P;2;126;7;0,763;2;21,5;21,5;FALSO;0,763;FALSO
2.5N/0.0P;2.5N;0.0P;2;126;7;0,763;3;16,6;16,6;FALSO;0,763;FALSO
2.5N/0.0P;2.5N;0.0P;2;126;7;0,763;4;12,6;12,6;FALSO;0,763;FALSO
2.5N/0.0P;2.5N;0.0P;2;128;7;1,073;1;12,9;12,9;FALSO;1,073;FALSO
2.5N/0.0P;2.5N;0.0P;2;128;7;0,814;2;10;10;FALSO;0,814;FALSO
2.5N/0.0P;2.5N;0.0P;2;128;7;1;3;11,2;11,2;FALSO;1;FALSO
2.5N/0.0P;2.5N;0.0P;2;128;7;0,728;4;13,7;13,7;FALSO;0,728;FALSO
0.0N/0.6P;0.0N;0.6P;2;136;7;0,735;1;10,2;10,2;FALSO;0,735;FALSO
0.0N/0.6P;0.0N;0.6P;2;136;7;0,779;2;11,6;11,6;FALSO;0,779;FALSO
0.0N/0.6P;0.0N;0.6P;2;136;7;0,507;3;9,6;9,6;FALSO;0,7605;VERDADERO
0.0N/0.6P;0.0N;0.6P;2;136;7;0,646;4;9,7;9,7;FALSO;0,7605;VERDADERO
0.0N/0.6P;0.0N;0.6P;2;139;7;0,81;1;16,4;16,4;FALSO;0,81;FALSO
0.0N/0.6P;0.0N;0.6P;2;139;7;0,76;2;16,3;16,3;FALSO;0,76;FALSO
0.0N/0.6P;0.0N;0.6P;2;139;7;0,8;3;20,5;20,5;FALSO;0,8;FALSO
0.0N/0.6P;0.0N;0.6P;2;139;7;0,731;4;16,8;16,8;FALSO;0,731;FALSO
1.8N/0.0P;1.8N;0.0P;2;148;7;0,801;1;8,8;8,8;FALSO;0,801;FALSO
1.8N/0.0P;1.8N;0.0P;2;148;7;0,8;2;12,1;12,1;FALSO;0,8;FALSO
1.8N/0.0P;1.8N;0.0P;2;148;7;0,842;3;15,4;15,4;FALSO;0,842;FALSO
1.8N/0.0P;1.8N;0.0P;2;148;7;0,794;4;15,6;15,6;FALSO;0,794;FALSO
1.8N/0.6P;1.8N;0.6P;2;149;7;0,77;1;11,4;11,4;FALSO;0,77;FALSO
1.8N/0.6P;1.8N;0.6P;2;149;7;0,847;2;13,8;13,8;FALSO;0,847;FALSO
1.8N/0.6P;1.8N;0.6P;2;149;7;0,728;3;12,5;12,5;FALSO;0,728;FALSO
1.8N/0.6P;1.8N;0.6P;2;149;7;0,805;4;11,6;11,6;FALSO;0,805;FALSO
1.8N/0.6P;1.8N;0.6P;2;150;7;0,625;1;21,1;21,1;FALSO;0,625;FALSO
1.8N/0.6P;1.8N;0.6P;2;150;7;0,635;2;30,5;30,5;FALSO;0,635;FALSO
1.8N/0.6P;1.8N;0.6P;2;150;7;0,707;3;28,3;28,3;FALSO;0,707;FALSO
1.8N/0.6P;1.8N;0.6P;2;150;7;0,751;4;28,2;28,2;FALSO;0,751;FALSO
2.5N/0.6P;2.5N;0.6P;2;157;7;0,724;1;13,1;13,1;FALSO;0,724;FALSO
2.5N/0.6P;2.5N;0.6P;2;157;7;0,705;2;26,2;26,2;FALSO;0,705;FALSO
2.5N/0.6P;2.5N;0.6P;2;157;7;0,75;3;20,6;20,6;FALSO;0,75;FALSO
2.5N/0.6P;2.5N;0.6P;2;157;7;0,769;4;21,3;21,3;FALSO;0,769;FALSO
2.5N/0.6P;2.5N;0.6P;2;159;7;0,78;1;14,7;14,7;FALSO;0,78;FALSO
2.5N/0.6P;2.5N;0.6P;2;159;7;0,757;2;11,7;11,7;FALSO;0,757;FALSO
2.5N/0.6P;2.5N;0.6P;2;159;7;0,763;3;12,4;12,4;FALSO;0,763;FALSO
2.5N/0.6P;2.5N;0.6P;2;159;7;0,632;4;11,6;11,6;FALSO;0,632;FALSO
0.0N/1.2P;0.0N;1.2P;2;165;7;0,624;1;3,9;3,9;FALSO;0,7855;VERDADERO
0.0N/1.2P;0.0N;1.2P;2;165;7;0,829;2;10,3;10,3;FALSO;0,829;FALSO
0.0N/1.2P;0.0N;1.2P;2;165;7;0,826;3;11,6;11,6;FALSO;0,826;FALSO
0.0N/1.2P;0.0N;1.2P;2;165;7;0,917;4;11,3;11,3;FALSO;0,7855;VERDADERO
0.0N/1.2P;0.0N;1.2P;2;170;7;0,818;1;14,6;14,6;FALSO;0,818;FALSO
0.0N/1.2P;0.0N;1.2P;2;170;7;0,804;2;16,8;16,8;FALSO;0,804;FALSO
0.0N/1.2P;0.0N;1.2P;2;170;7;0,806;3;19,8;19,8;FALSO;0,806;FALSO
0.0N/1.2P;0.0N;1.2P;2;170;7;0,783;4;21,5;21,5;FALSO;0,783;FALSO
1.1N/1.2P;1.1N;1.2P;2;173;7;0,71;1;27,5;27,5;FALSO;0,71;FALSO
1.1N/1.2P;1.1N;1.2P;2;173;7;0,556;2;25,9;25,9;FALSO;0,556;FALSO
1.1N/1.2P;1.1N;1.2P;2;173;7;0,994;3;16,7;16,7;FALSO;0,7495;VERDADERO
1.1N/1.2P;1.1N;1.2P;2;173;7;1,052;4;16,2;16,2;FALSO;0,7495;VERDADERO
1.1N/1.2P;1.1N;1.2P;2;175;7;0,72;1;12,5;12,5;FALSO;0,72;FALSO
1.1N/1.2P;1.1N;1.2P;2;175;7;0,708;2;10;10;FALSO;0,708;FALSO
1.1N/1.2P;1.1N;1.2P;2;175;7;0,733;3;11,6;11,6;FALSO;0,733;FALSO
1.1N/1.2P;1.1N;1.2P;2;175;7;0,676;4;12,9;12,9;FALSO;0,676;FALSO
1.8N/1.2P;1.8N;1.2P;2;183;7;0,819;1;40,4;40,4;FALSO;0,819;FALSO
